Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
64623481,The September House,Carissa Orlando,"Orlando, Carissa",,"=""0593548612""","=""9780593548615""",0,Berkley,Hardcover,344,2023,2023,,2026/04/14,currently-reading,currently-reading (#4),currently-reading,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3,Scholastic Press,Hardcover,374,2008,2008,2025/09/09,2025/09/03,,,read,,,,1,0
17212231,"Inferno (Robert Langdon, #4)",Dan    Brown,"Brown, Dan",,"=""0385537859""","=""9780385537858""",4,Doubleday,Hardcover,463,2013,2013,,2024/12/21,,,read,,,,1,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""""","=""""",4,Scribner,Paperback,209,2020,2017,2025/07/04,2025/06/27,,,read,,,,1,0
179735,The Girl Next Door,Jack Ketchum,"Ketchum, Jack",,"=""0843955430""","=""9780843955439""",4,Leisure Books,Paperback,370,2005,1989,2025/04/27,2025/04/22,,,read,,,,1,0
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,"=""""","=""""",0,Penguin Books,Paperback,487,2005,2001,,2026/03/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
9736930,Before I Go to Sleep,S.J. Watson,"Watson, S.J.",,"=""0062060554""","=""9780062060556""",4,HarperCollins Publishers,Hardcover,359,2011,2011,2026/03/31,2026/03/29,,,read,,,,1,0
60142750,All Good People Here,Ashley Flowers,"Flowers, Ashley",Alex Kiester,"=""0593496477""","=""9780593496473""",4,Bantam,Hardcover,312,2022,2022,2026/03/29,2026/03/21,,,read,,,,1,0
25614492,Salt to the Sea,Ruta Sepetys,"Sepetys, Ruta",,"=""""","=""""",5,Philomel Books,Hardcover,391,2016,2016,2026/03/21,2026/03/17,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",4,Knopf,Hardcover,333,2014,2014,2026/03/17,2026/03/09,,,read,,,,1,0
54981009,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,"Dave, Laura",,"=""1501171348""","=""9781501171345""",4,Simon & Schuster,Hardcover,307,2021,2021,2026/03/09,2026/02/27,,,read,,,,1,0
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""198216963X""","=""9781982169633""",0,Atria Publishing,Hardcover,336,2019,2019,,2026/03/01,currently-reading,currently-reading (#2),currently-reading,,,,1,0
